Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2021†","Hemolytic uremic snydrome post-diarrheal, Cum 2021†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2021†","Hepatitis A, acute, Cum 2021†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2021†","Hepatitis B, acute, Cum 2021†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag",Location 1,Location 2,Reporting Area Sort,geocode
OKLAHOMA,2021,6,,-,0,,,-,,-,,-,2,,,-,,-,,-,2,,,-,,-,OKLAHOMA,,20210646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2021,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20210665,POINT (145.725693 15.1834)
OHIO,2021,6,,-,0,,,-,,-,,-,13,,1,,48,,,-,6,,8,,21,,OHIO,,20210618,POINT (-82.70936 40.415534)
MINNESOTA,2021,6,,-,0,,,-,,-,,-,7,,,-,20,,,-,2,,,-,,-,MINNESOTA,,20210623,POINT (-94.198308 46.349153)
LOUISIANA,2021,6,,-,2,,,-,,-,,-,42,,29,,55,,,-,2,,,-,8,,LOUISIANA,,20210645,POINT (-91.840238 30.921314)
HAWAII,2021,6,,-,0,,,-,,-,,-,1,,1,,1,,,-,2,,,-,2,,HAWAII,,20210660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2021,6,,-,2,,1,,2,,5,,94,,61,,470,,,-,17,,5,,98,,,SOUTH ATLANTIC,20210628,
PENNSYLVANIA,2021,6,,-,1,,,-,1,,,-,10,,2,,43,,,-,3,,2,,5,,PENNSYLVANIA,,20210613,POINT (-77.838886 40.896694)
UTAH,2021,6,,-,1,,,-,,-,,-,2,,1,,1,,,-,2,,1,,,-,UTAH,,20210655,POINT (-111.678222 39.323779)
COLORADO,2021,6,,-,0,,,-,,-,,-,6,,1,,20,,,-,1,,,-,,-,COLORADO,,20210650,POINT (-105.547832 38.998552)
VERMONT,2021,6,,-,0,,,-,,-,,-,2,,4,,,-,1,,1,,1,,,-,VERMONT,,20210608,POINT (-72.662695 44.075252)
KENTUCKY,2021,6,,-,1,,,-,,-,,-,4,,4,,8,,2,,7,,12,,26,,KENTUCKY,,20210640,POINT (-85.290484 37.526683)
PUERTO RICO,2021,6,,N,,NC,,N,,N,,-,1,,,-,9,,,-,0,,,-,,-,PUERTO RICO,,20210667,POINT (-66.414655 18.215692)
MAINE,2021,6,,-,0,,,-,,-,2,,12,,17,,7,,,-,2,,4,,5,,MAINE,,20210604,POINT (-69.06137 45.117911)
